dt,maxco,nx,ncells,tsr,cp,cd,yplus_min,yplus_max,yplus_mean,ddt_scheme
nan,6,95,61086,1.9144164009,0.7784789586,1.4111902786,0.0964839694,5.089858415,1.386211519,backward
nan,100,95,61086,1.9060210524,0.6789240631,1.3894155695,0.1954414757,5.48972963,1.262947253,Euler
nan,80,95,61086,1.9117495294,0.6232981216,1.4040345127,0.1450778775,5.342695904,1.26164406,Euler
nan,60,95,61086,1.918514842,0.5821269508,1.3529381747,0.1338294463,5.182453859,1.244089262,Euler
nan,40,95,61086,1.9203543382,0.5381617491,1.3446902518,0.1603567796,5.032239702,1.245167392,Euler
nan,20,95,61086,1.9230750617,0.53104782,1.3553654544,0.1028958359,4.824045172,1.295872605,Euler
nan,10,95,61086,1.9245149084,0.6055814752,1.3934869694,0.125454485,4.873374261,1.396302138,Euler
nan,5,95,61086,1.9148294321,0.7517759161,1.4015199142,0.0959157972,5.054654465,1.369481414,Euler
nan,30,95,61086,1.9232873989,0.5331556483,1.3521401814,0.1016693852,4.935920593,1.265877609,Euler
nan,15,95,61086,1.923540836,0.5523944583,1.3755025031,0.1170557842,4.812867081,1.356042914,Euler
nan,10,95,61086,1.9245689741,0.6187054454,1.3981411748,0.0999431317,4.920018082,1.384081716,Euler
nan,30,95,61086,1.9228639356,0.5195099003,1.3460165831,0.1443729637,4.81514187,1.264629326,Euler
0.0015,nan,95,61086,1.900658179,0.4648237892,1.2962707942,0.1412490735,5.163095995,1.2416808,Euler
0.0025,nan,95,61086,1.9006700383,0.4562909252,1.2984990728,0.1742918964,5.174893017,1.223754361,Euler
0.0035,nan,95,61086,1.9006934885,0.4541746075,1.3033944588,0.1917479268,4.867945388,1.275083668,Euler
0.0045,nan,95,61086,1.900643509,0.468999382,1.3099802631,0.2414635568,4.896243191,1.271287989,Euler
0.006,nan,95,91446,nan,nan,nan,0.138549711,5.068007454,1.250180715,Euler
0.004,nan,95,91446,1.9006415834,0.4616066586,1.2948103218,0.2090262226,4.872831405,1.246377159,Euler
0.003,nan,95,91446,1.9006555484,0.4638693518,1.2986881171,0.1860663667,5.189853651,1.20282604,Euler
0.0025,nan,95,91446,1.9006700383,0.4616714926,1.2888213918,0.1732156852,5.181123153,1.204653614,Euler
0.002,nan,95,91446,1.9006763545,0.4604743159,1.2826507079,0.1441188135,4.817231108,1.260388356,Euler
0.0015,nan,95,91446,1.900658179,0.4634703271,1.2792810818,0.1441709113,5.176855716,1.203757286,Euler
0.001,nan,95,91446,1.9006849246,0.4808486316,1.2968073509,0.124590664,5.179478559,1.249333138,Euler
0.0007,nan,95,91446,1.9006752871,0.4990694897,1.3257389191,0.1398331926,4.809462029,1.366234612,Euler
0.0005,nan,95,91446,1.9006893173,0.5385980222,1.347760307,0.1719725353,4.842163254,1.39811297,Euler
nan,40,95,61086,1.9176534444,0.4765992383,1.3362561763,0.1669407398,4.849545297,1.279090183,Euler
nan,20,95,61086,1.9239714403,0.5283570513,1.3660614248,0.1080265826,4.828967809,1.283279241,Euler
nan,10,95,61086,1.9245700081,0.6108595463,1.3956079284,0.1085623481,4.906240013,1.381118328,Euler
0.003,nan,95,91446,1.9006555484,0.4276464654,1.3120842152,0.2140290277,5.168917128,1.228239563,Euler
0.0025,nan,95,91446,1.9006700383,0.4440449584,1.3160440895,0.1912049001,5.17316421,1.216915299,Euler
0.002,nan,95,91446,1.9006763545,0.4641067788,1.289300337,0.1576926719,4.851412752,1.26898103,Euler
0.0015,nan,95,91446,1.900658179,0.4680902007,1.2864487976,0.1336136446,5.183542154,1.188283232,Euler
0.001,nan,95,91446,1.9006849246,0.4820605871,1.2925123649,0.0721892642,5.183279065,1.228693728,Euler
0.0007,nan,95,91446,1.9006752871,0.4913850947,1.3140913752,0.0824210081,4.824244865,1.347639858,Euler
0.0005,nan,95,91446,1.9006893173,0.5373214636,1.3382162637,0.0602329284,4.858542363,1.396313034,Euler
0.0002,nan,95,91446,1.9006849105,0.7419444779,1.3560689137,0.0748496449,5.29229961,1.392698358,Euler
nan,5,95,61086,1.9151004,0.7476805925,1.4016104717,0.0723874383,5.050597748,1.363784054,Euler
nan,2,95,61086,1.9143730604,0.7772811007,1.4076104702,0.0755889065,5.182205135,1.437315245,Euler
nan,20,95,91446,3.5115490778,0.5322662876,1.795296298,0.1698922759,5.169840621,2.063421209,Euler
nan,20,95,91446,3.0112959971,0.6577605662,1.6861909841,0.1659928967,4.360558625,1.775052608,Euler
nan,20,95,91446,2.5097092519,0.7040958015,1.5389065333,0.1447544502,3.894509617,1.50701033,Euler
nan,20,95,91446,2.0155424494,0.5730096786,1.3822732869,0.1366042837,4.356572934,1.209092992,Euler
nan,20,95,91446,1.5062619091,0.2702213044,0.992292705,0.0811980027,4.930083783,1.10604358,Euler
nan,20,95,91446,1.0168209673,0.0157687786,0.9242658094,0.0701974343,3.191749849,1.079108597,Euler
nan,0.9,95,61086,1.9160156973,0.7475572984,1.3905954929,0.0861188775,5.288857762,1.592724695,Euler
nan,20,95,91446,1.9247272091,0.5385221881,1.3419989592,0.1218136077,4.840605342,1.248659868,Euler
